HR 1338,Gam Dor,04 16 01.61,-51 29 12.1,4.25
HR 4732,,12 26 31.61,-51 27 02.9,4.82
HR 5172,,13 46 39.31,-51 25 58.1,4.65
HR 8675,Eps Gru,22 48 33.31,-51 19 00.8,3.49
HR 2020,Bet Pic,05 47 17.11,-51 03 59.0,3.85
HR 4621,Del Cen,12 08 21.50,-50 43 21.0,2.60
HR 4618,,12 08 05.21,-50 39 41.0,4.47
HR 2553,Tau Pup,06 49 56.21,-50 36 52.9,2.93
HR 5425,Sig Lup,14 32 36.89,-50 27 24.8,4.42
HR 4743,Sig Cen,12 28 02.40,-50 13 50.2,3.91
HR 6072,Gam2Nor,16 19 50.40,-50 09 20.2,4.02
HR 6743,The Ara,18 06 37.90,-50 05 30.1,3.66
HR 6058,Gam1Nor,16 17 00.91,-50 04 05.9,4.99
HR 4942,Xi 2Cen,13 06 54.60,-49 54 22.0,4.27
HR 868,,02 53 52.90,-49 53 25.1,4.00
HR 6510,Alp Ara,17 31 50.50,-49 52 34.0,2.95
HR 3089,,07 53 03.70,-49 36 47.2,4.63
HR 2672,,07 03 53.69,-49 35 02.0,4.93
HR 4933,Xi 1Cen,13 03 33.19,-49 31 37.9,4.85
HR 5453,Rho Lup,14 37 53.21,-49 25 32.9,4.05
HR 4216,Mu Vel,10 46 46.20,-49 25 12.0,2.69
HR 6569,Lam Ara,17 40 23.59,-49 24 56.2,4.77
HR 3836,,09 36 49.61,-49 21 19.1,4.35
HR 3129,,07 58 14.40,-49 14 42.0,4.41
HR 5962,Eta Nor,16 03 12.91,-49 13 46.9,4.65
HR 440,Del Phe,01 31 15.10,-49 04 22.1,3.95
HR 6905,Zet Tel,18 28 49.90,-49 04 14.9,4.13
HR 4819,Gam Cen,12 41 31.01,-48 57 34.9,2.17
HR 4888,,12 53 06.89,-48 56 35.9,4.33
HR 4831,,12 42 35.40,-48 48 47.2,4.66
HR 125,Lam1Phe,00 31 25.01,-48 48 13.0,4.77
